,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2016,,,,,,,,,Year,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of PM2.5 Emissions tpa,Zone,,,,,,,,,Sum of PM2.5 Emissions tpa,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater London,,,Greater London Total,External,LAEI (Grand Total),,,,Source,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,
,Resuspension,,,,,,,,,,Resuspension, 	0.9 , 	2.2 , 	1.1 , 	1.2 , 	1.3 , 	0.8 , 	0.3 , 	1.4 , 	1.3 , 	1.7 , 	2.6 , 	1.4 , 	0.7 , 	0.6 , 	0.7 , 	0.7 , 	2.7 , 	2.6 , 	1.5 , 	0.6 , 	0.6 , 	0.8 , 	1.0 , 	0.9 , 	0.7 , 	1.2 , 	1.5 , 	0.8 , 	1.0 , 	0.6 , 	1.0 , 	1.0 , 	0.9 , 	21.1 ,
,Resuspension, 	1.4 , 	10.4 , 	26.7 , 	38.5 , 	21.1 , 	59.6 ,,,,Transport, 	26.8 , 	70.9 , 	36.1 , 	41.8 , 	49.9 , 	29.2 , 	11.8 , 	49.6 , 	45.1 , 	66.4 , 	61.7 , 	42.5 , 	21.2 , 	23.0 , 	26.2 , 	27.9 , 	51.4 , 	125.4 , 	54.4 , 	18.7 , 	23.0 , 	28.4 , 	29.3 , 	28.2 , 	24.8 , 	37.0 , 	44.8 , 	31.6 , 	30.0 , 	22.1 , 	33.9 , 	32.0 , 	32.1 , 	437.3 ,
,Transport, 	50.7 , 	342.6 , 	884.1 ," 	1,277.3 ", 	437.3 ," 	1,714.7 ",,,,Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aviation,,,,,,,,,,Aviation, 	-   , 	0.0 , 	0.2 , 	0.0 , 	0.4 , 	-   , 	0.0 , 	-   , 	0.0 , 	0.0 , 	0.0 , 	0.1 , 	0.0 , 	0.5 , 	-   , 	0.0 , 	0.1 , 	46.4 , 	3.7 , 	-   , 	0.1 , 	-   , 	-   , 	0.0 , 	-   , 	1.9 , 	0.0 , 	1.5 , 	0.0 , 	0.0 , 	0.3 , 	0.0 , 	0.7 , 	1.7 ,
,Aviation, 	0.0 , 	3.5 , 	52.6 , 	56.1 , 	1.7 , 	57.9 ,,,,Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rail,,,,,,,,,,Freight, 	0.4 , 	0.2 , 	0.2 , 	0.5 , 	0.1 , 	0.4 , 	-   , 	-   , 	0.1 , 	0.7 , 	0.1 , 	0.1 , 	0.2 , 	0.2 , 	0.2 , 	0.4 , 	0.5 , 	0.3 , 	0.1 , 	0.2 , 	0.0 , 	0.0 , 	0.2 , 	0.2 , 	0.0 , 	0.4 , 	0.2 , 	0.0 , 	0.1 , 	-   , 	0.0 , 	0.2 , 	0.2 , 	1.4 ,
,Freight, 	-   , 	2.3 , 	4.2 , 	6.5 , 	1.4 , 	7.9 ,,,,Passengers, 	0.0 , 	3.6 , 	-   , 	2.6 , 	0.0 , 	2.6 , 	-   , 	2.8 , 	0.2 , 	14.5 , 	0.3 , 	-   , 	-   , 	2.4 , 	1.2 , 	0.8 , 	-   , 	9.3 , 	-   , 	0.7 , 	2.6 , 	0.5 , 	0.3 , 	0.1 , 	0.7 , 	0.1 , 	-   , 	-   , 	0.0 , 	-   , 	-   , 	0.2 , 	0.7 , 	6.7 ,
,Passengers, 	0.2 , 	13.4 , 	32.7 , 	46.4 , 	6.7 , 	53.0 ,,,,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,River,,,,,,,,,,Commercial Shipping, 	2.1 , 	-   , 	1.4 , 	-   , 	-   , 	-   , 	0.2 , 	0.3 , 	-   , 	-   , 	-   , 	1.4 , 	-   , 	0.0 , 	-   , 	-   , 	0.7 , 	-   , 	-   , 	-   , 	0.0 , 	-   , 	0.0 , 	0.1 , 	-   , 	1.6 , 	-   , 	-   , 	0.6 , 	-   , 	1.2 , 	-   , 	0.0 , 	6.7 ,
,Commercial Shipping, 	0.8 , 	3.2 , 	5.6 , 	9.6 , 	6.7 , 	16.3 ,,,,Passenger Shipping, 	0.0 , 	-   , 	0.0 , 	-   , 	-   , 	-   , 	2.3 , 	1.5 , 	-   , 	-   , 	-   , 	0.4 , 	-   , 	0.0 , 	-   , 	-   , 	0.0 , 	-   , 	-   , 	-   , 	0.0 , 	-   , 	0.0 , 	0.2 , 	-   , 	0.5 , 	-   , 	-   , 	1.5 , 	-   , 	3.0 , 	-   , 	0.0 , 	0.0 ,
