,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions – PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions – PM2.5 Summary by Borough (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM2.5 Emissions (tonnes/annum),Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLA,,,GLA Total,Non GLA,LAEI (Grand Total),,,,PM2.5 Emissions (tonnes/annum),Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,Central,Inner,Outer,,,,,,,Row Labels,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,Grand Total,
,STW,,,,,,,,,,STW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WTS, 	0.00 , 	0.09 , 	0.14 , 	0.23 , 	0.03 , 	0.26 ,,,,WTS, 	0.03 , 	0.02 , 	0.00 , 	0.01 , 	0.01 , 	0.00 , 	0.00 , 	-   , 	0.00 , 	0.01 , 	0.01 , 	0.01 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.02 , 	0.01 , 	0.01 , 	-   , 	0.01 , 	0.00 , 	0.01 , 	0.01 , 	0.01 , 	0.02 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.02 , 	0.03 , 	0.26 ,
,Miscellaneous, 	3.33 , 	28.22 , 	43.43 , 	74.98 , 	7.46 , 	82.44 ,,,,Miscellaneous, 	2.05 , 	2.94 , 	2.47 , 	2.58 , 	3.65 , 	1.85 , 	0.33 , 	2.85 , 	3.29 , 	2.70 , 	2.80 , 	3.20 , 	1.91 , 	1.24 , 	2.17 , 	1.49 , 	2.90 , 	3.96 , 	2.81 , 	1.59 , 	1.04 , 	1.07 , 	2.08 , 	2.38 , 	1.28 , 	2.96 , 	2.54 , 	1.29 , 	2.40 , 	1.63 , 	2.81 , 	2.61 , 	2.07 , 	7.48 , 	82.44 ,
,Accidental Fires, 	3.23 , 	26.90 , 	36.49 , 	66.62 , 	0.12 , 	66.74 ,,,,Accidental Fires, 	1.89 , 	2.46 , 	2.19 , 	2.40 , 	2.58 , 	1.77 , 	0.32 , 	2.76 , 	2.88 , 	2.43 , 	2.29 , 	2.97 , 	1.83 , 	1.18 , 	2.07 , 	1.26 , 	2.01 , 	3.24 , 	2.51 , 	1.54 , 	1.00 , 	0.88 , 	1.98 , 	2.25 , 	1.12 , 	2.84 , 	2.21 , 	0.91 , 	2.28 , 	1.43 , 	2.75 , 	2.46 , 	1.93 , 	0.12 , 	66.74 ,
,Accidental Fires, 	3.23 , 	26.90 , 	36.49 , 	66.62 , 	0.12 , 	66.74 ,,,,Accidental Fires, 	1.89 , 	2.46 , 	2.19 , 	2.40 , 	2.58 , 	1.77 , 	0.32 , 	2.76 , 	2.88 , 	2.43 , 	2.29 , 	2.97 , 	1.83 , 	1.18 , 	2.07 , 	1.26 , 	2.01 , 	3.24 , 	2.51 , 	1.54 , 	1.00 , 	0.88 , 	1.98 , 	2.25 , 	1.12 , 	2.84 , 	2.21 , 	0.91 , 	2.28 , 	1.43 , 	2.75 , 	2.46 , 	1.93 , 	0.12 , 	66.74 ,
,Agriculture, 	0.10 , 	1.32 , 	6.94 , 	8.36 , 	7.34 , 	15.70 ,,,,Agriculture, 	0.17 , 	0.48 , 	0.28 , 	0.17 , 	1.07 , 	0.08 , 	0.02 , 	0.09 , 	0.41 , 	0.27 , 	0.51 , 	0.23 , 	0.08 , 	0.06 , 	0.10 , 	0.23 , 	0.89 , 	0.72 , 	0.30 , 	0.05 , 	0.04 , 	0.19 , 	0.11 , 	0.13 , 	0.16 , 	0.12 , 	0.33 , 	0.37 , 	0.11 , 	0.21 , 	0.07 , 	0.15 , 	0.14 , 	7.36 , 	15.70 ,
,Agriculture, 	0.10 , 	1.32 , 	6.94 , 	8.36 , 	7.34 , 	15.70 ,,,,Agriculture, 	0.17 , 	0.48 , 	0.28 , 	0.17 , 	1.07 , 	0.08 , 	0.02 , 	0.09 , 	0.41 , 	0.27 , 	0.51 , 	0.23 , 	0.08 , 	0.06 , 	0.10 , 	0.23 , 	0.89 , 	0.72 , 	0.30 , 	0.05 , 	0.04 , 	0.19 , 	0.11 , 	0.13 , 	0.16 , 	0.12 , 	0.33 , 	0.37 , 	0.11 , 	0.21 , 	0.07 , 	0.15 , 	0.14 , 	7.36 , 	15.70 ,
,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Resuspension, 	1.10 , 	13.76 , 	26.75 , 	41.61 , 	26.44 , 	68.05 ,,,,Resuspension, 	1.03 , 	2.44 , 	1.38 , 	1.33 , 	1.40 , 	0.71 , 	0.22 , 	1.26 , 	1.35 , 	1.72 , 	3.01 , 	1.65 , 	0.75 , 	0.71 , 	0.78 , 	0.71 , 	3.32 , 	2.79 , 	1.83 , 	0.57 , 	0.66 , 	0.77 , 	1.06 , 	0.93 , 	0.78 , 	1.41 , 	1.49 , 	0.80 , 	0.95 , 	0.57 , 	1.16 , 	1.08 , 	1.01 , 	26.45 , 	68.05 ,
,Resuspension, 	1.10 , 	13.76 , 	26.75 , 	41.61 , 	26.44 , 	68.05 ,,,,Resuspension, 	1.03 , 	2.44 , 	1.38 , 	1.33 , 	1.40 , 	0.71 , 	0.22 , 	1.26 , 	1.35 , 	1.72 , 	3.01 , 	1.65 , 	0.75 , 	0.71 , 	0.78 , 	0.71 , 	3.32 , 	2.79 , 	1.83 , 	0.57 , 	0.66 , 	0.77 , 	1.06 , 	0.93 , 	0.78 , 	1.41 , 	1.49 , 	0.80 , 	0.95 , 	0.57 , 	1.16 , 	1.08 , 	1.01 , 	26.45 , 	68.05 ,
,Resuspension, 	1.10 , 	13.76 , 	26.75 , 	41.61 , 	26.44 , 	68.05 ,,,,Resuspension, 	1.03 , 	2.44 , 	1.38 , 	1.33 , 	1.40 , 	0.71 , 	0.22 , 	1.26 , 	1.35 , 	1.72 , 	3.01 , 	1.65 , 	0.75 , 	0.71 , 	0.78 , 	0.71 , 	3.32 , 	2.79 , 	1.83 , 	0.57 , 	0.66 , 	0.77 , 	1.06 , 	0.93 , 	0.78 , 	1.41 , 	1.49 , 	0.80 , 	0.95 , 	0.57 , 	1.16 , 	1.08 , 	1.01 , 	26.45 , 	68.05 ,
